Volume(mm),Year,Station_Code,Data_Type,Date_x,Month,Measurer,Daily_max_vol,Day_max_vol,Rain_days,Monthly_total_vol,Annual_vol,Vol_fortnight1_x,Vol_fortnight2_x,Vol_week1_x,Vol_week2_x,Vol_week3_x,Vol_week4_x,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Date_y,River position (m),Monthly_total_vol ,Vol_fortnight1_y,Vol_fortnight2_y,Vf_mean,Vol_week1_y,Vol_week2_y,Vol_week3_y,Vol_week4_y,Vw_mean,Select
859.3,1943.0,2951010.0,Raw,1943-12-01,December,Pluviometer,30.4,12.0,7.0,110.3,859.3,73.6,36.7,13.0,60.6,2.7,34.0,11.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,30.4,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-11-01,November,Pluviometer,9.3,21.0,5.0,23.7,,6.7,17.0,0.0,6.7,16.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.7,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-10-01,October,Pluviometer,22.3,9.0,3.0,39.9,,39.9,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,17.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-09-01,September,Pluviometer,46.5,13.0,10.0,111.1,,58.2,52.9,5.7,52.5,52.9,0.0,1.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.5,5.0,0.0,0.0,2.0,13.2,33.0,0.0,0.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-08-01,August,Pluviometer,30.0,11.0,8.0,80.2,,59.7,20.5,28.7,31.0,20.5,0.0,0.5,28.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,3.1,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-07-01,July,Pluviometer,57.2,3.0,10.0,167.1,,132.7,34.4,113.7,19.0,0.0,34.4,17.2,4.2,57.2,29.0,0.8,5.3,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,21.2,0.6,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-06-01,June,Pluviometer,29.4,3.0,11.0,104.5,,66.6,37.9,60.8,5.8,18.7,19.2,0.0,1.5,29.4,3.6,6.7,19.0,0.6,0.0,0.0,0.0,0.0,5.2,0.6,0.0,0.0,18.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
859.3,1943.0,2951010.0,Raw,1943-05-01,May,Pluviometer,93.2,30.0,8.0,222.5,,1.4,221.1,1.4,0.0,43.0,178.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,10.1,56.2,17.4,0.0,1.2,93.2,0.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-12-01,December,Pluviometer,8.2,9.0,6.0,19.9,1334.4,14.4,5.5,0.0,14.4,2.1,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,6.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,1.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-11-01,November,Pluviometer,21.2,3.0,4.0,48.3,,45.6,2.7,21.2,24.4,0.0,2.7,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-10-01,October,Pluviometer,46.2,6.0,10.0,188.5,,132.4,56.1,89.6,42.8,0.0,56.1,0.0,0.0,0.0,4.8,1.2,46.2,37.4,0.0,14.3,0.0,0.0,20.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,32.4,4.5,0.0,0.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-09-01,September,Pluviometer,48.8,6.0,4.0,70.2,,69.0,1.2,69.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,48.8,15.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-08-01,August,Pluviometer,22.4,16.0,8.0,93.0,,22.3,70.7,19.7,2.6,51.6,19.1,0.0,0.0,0.0,0.0,0.0,5.5,14.2,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,22.4,20.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,3.5,0.0,0.0,,,,,,,,,,,,
1334.4,1944.0,2951010.0,Raw,1944-07-01,July,Pluviometer,38.0,5.0,5.0,58.8,,50.4,8.4,39.5,10.9,8.4,0.0,0.0,0.0,0.0,0.0,38.0,1.5,0.0,0.0,8.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
