Station_Code;Data_Type;Date;Month;Measurer;Daily_max_vol;Day_max_vol;Rain_days;Monthly_total_vol;Annual_vol;Year;Vol_fortnight1;Vol_fortnight2;Vol_week1;Vol_week2;Vol_week3;Vol_week4;Day01;Day02;Day03;Day04;Day05;Day06;Day07;Day08;Day09;Day10;Day11;Day12;Day13;Day14;Day15;Day16;Day17;Day18;Day19;Day20;Day21;Day22;Day23;Day24;Day25;Day26;Day27;Day28;Day29;Day30;Day31
2951010;Raw;01/01/2021;January;Pluviometer;47.7;17;12;223.5;;;35.6;187.9;19.2;16.4;75.8;112.1;0;0;1.2;18;0;0;0;0;0;0;0;16.4;0;0;0;0;47.7;21.7;0;0;0;6.4;0;0;1.4;0;30.9;16.7;16.1;17.9;29.1
2951010;Raw;01/12/2020;December;Pluviometer;35.8;3;4;91.3;769.8;2020;76.2;15.1;49.1;27.1;0;15.1;0;0;35.8;13.3;0;0;0;0;0;0;0;0;0;27.1;0;0;0;0;0;0;0;0;0;15.1;0;0;0;0;0;0;0
2951010;Raw;01/11/2020;November;Pluviometer;43.5;19;5;78.2;;;9.2;69;6.7;2.5;43.5;25.5;0;6.7;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;43.5;0;0;0;0;0;0;2.6;0;0;0;22.9;
2951010;Raw;01/10/2020;October;Pluviometer;24.9;27;6;62;;;34.7;27.3;34.7;0;0;27.3;10.9;16.8;0;4.7;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.9;2.4;0;0;0
2951010;Raw;01/09/2020;September;Pluviometer;29.7;18;9;130.9;;;91.2;39.7;32.4;58.8;39.7;0;0;3.5;0;0;23.2;0;5.7;0;10.5;0;0;23.8;0;16.2;8.3;0;10;29.7;0;0;0;0;0;0;0;0;0;0;0;0;
2951010;Raw;01/08/2020;August;Pluviometer;54.3;12;5;119.9;;;107.3;12.6;0;107.3;8.5;4.1;0;0;0;0;0;0;0;0;0;0;0;54.3;17.5;0;35.5;0;0;0;8.5;0;0;0;0;4.1;0;0;0;0;0;0;0
2951010;Raw;01/07/2020;July;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/06/2020;June;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/05/2020;May;Pluviometer;70.7;22;6;140.3;;;50.3;90;16.7;33.6;80.1;9.9;0;0;16.7;0;0;0;0;0;0;0;0;14.7;18.9;0;0;0;0;0;0;0;0;70.7;9.4;9.9;0;0;0;0;0;0;0
2951010;Raw;01/04/2020;April;Pluviometer;0;;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2951010;Raw;01/03/2020;March;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/02/2020;February;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/01/2020;January;Pluviometer;45.4;11;10;147.2;;;91.9;55.3;12.3;79.6;47.2;8.1;5;0;0;0;0;0;7.3;0;0;16.6;45.4;0;0;0;17.6;2.1;0;0;0;0;45.1;0;0;0;0.5;0;0;4.7;0;0;2.9
2951010;Raw;01/12/2019;December;Pluviometer;;;;;1317.2;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/11/2019;November;Pluviometer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2951010;Raw;01/10/2019;October;Pluviometer;53.4;4;12;319.2;;;164.1;155.1;143.7;20.4;66.7;88.4;0;0;32.7;53.4;39;0;18.6;0;0;0;0;0;0;11.1;9.3;25.9;0;0;0;0;20.1;20.7;0;0;0;0;30;0;0;14.7;43.7
