Date ;River position (m);Monthly_total_vol ;Vol_fortnight1;Vol_fortnight2;Vf_mean;Vol_week1;Vol_week2;Vol_week3;Vol_week4;Vw_mean;Select
00/10/2018;11.62;182.1;57.4;124.7;91.05;54.1;3.3;0;124.7;28.7;1
00/10/2017;11.35;165;133.8;31.2;82.5;32.4;101.4;0;31.2;31.8;1
00/06/2017;14.43;29.7;29.7;0;14.85;29.7;0;0;0;0;1
00/05/2017;11.69;202.7;35.5;167.2;101.35;8.1;27.4;9.4;157.8;18.4;1
00/10/2016;17.34;322.6;20.9;301.7;161.3;0;20.9;235.2;66.5;43.7;1
00/07/2016;14.98;73.3;11.5;61.8;36.65;10.2;1.3;36;25.8;18;1
00/10/2015;15.95;293.5;196.6;96.9;146.75;107.1;89.5;96.6;0.3;93.05;1
00/07/2015;11.27;269.8;189.7;80.1;134.9;13.8;175.9;75.8;4.3;44.8;1
00/10/2014;11.29;186.3;65.4;120.9;93.15;20;45.4;100.9;20;32.7;1
00/06/2014;11.07;283.3;161.9;121.4;141.65;108.2;53.7;16.9;104.5;79.1;1
00/08/2013;14.65;312.9;112.6;200.3;156.45;38;74.6;33.4;166.9;56.3;1
00/08/2011;14.95;182.2;113.7;68.5;91.1;32.3;81.4;11.7;56.8;44.55;1
00/07/2011;19.5;266.8;58.1;208.7;133.4;0.1;58;162.7;46;52;1
00/03/2011;11.35;173;21.7;151.3;86.5;0;21.7;0;151.3;10.85;1
00/09/2010;13.3;245.6;133.5;112.1;122.8;111.9;21.6;84.4;27.7;56.05;1
00/09/2009;16.4;136.7;92;44.7;68.35;42.7;49.3;1.7;43;42.85;1
00/10/2008;17.52;277.8;86.7;191.1;138.9;14.5;72.2;8.1;183;43.35;1
00/07/2007;16.4;223.4;144;79.4;111.7;60.1;83.9;79.4;0;69.75;1
00/08/1997;17.53;259.1;156.3;102.8;129.55;156.3;0;102.5;0.3;51.4;1
00/07/1993;12.25;262.3;136.3;126;131.15;33.8;102.5;0;126;68.15;1
00/05/1992;17.46;213.4;50.5;162.9;106.7;10.5;40;22.6;140.3;31.3;1
00/10/1990;13.02;173.8;125.4;48.4;86.9;41;84.4;37.8;10.6;39.4;2
00/05/1990;18.45;80.8;17.4;63.4;40.4;0;17.4;0;63.4;8.7;2
00/09/1989;17.98;260.4;215.3;45.1;130.2;24.7;190.6;17;28.1;26.4;2
00/09/1988;15.56;357.8;127.5;230.3;178.9;15.5;112;165.7;64.6;88.3;2
00/08/1983;14.5;162.9;55.4;107.5;81.45;26;29.4;101;6.5;27.7;2
00/07/1983;14.09;224.9;134;90.9;112.45;67.2;66.8;8.6;82.3;67;2
00/09/1967;16.4;342.7;147.3;195.4;171.35;80.5;66.8;195.4;0;73.65;2
00/08/1966;11.91;269.8;194.5;75.3;134.9;157.3;37.2;26;49.3;43.25;2
00/09/1965;14.85;277.6;190;87.6;138.8;63.8;126.2;13.4;74.2;69;2
00/08/1965;18.46;276.4;53.6;222.8;138.2;16.7;36.9;181;41.8;39.35;2
00/10/1963;12.4;271.2;192.9;78.3;135.6;9.6;183.3;46;32.3;39.15;2
00/09/1960;12.98;144.5;24.3;120.2;72.25;13;11.3;85.6;34.6;23.8;2
00/06/1959;16.57;273.2;26.4;246.8;136.6;24.4;2;162.4;84.4;54.4;2
00/04/1959;11.2;167.8;112.4;55.4;83.9;89.6;22.8;17.4;38;30.4;2
00/06/1958;12.55;178.8;149.2;29.6;89.4;63.6;85.6;20.8;8.8;42.2;2
00/09/1957;13.13;186;151.6;34.4;93;115;36.6;34.4;0;35.5;2
00/04/1956;19.2;89.6;89.6;0;44.8;89.6;0;0;0;0;2
00/09/1954;18;131.9;73;58.9;65.95;42.1;30.9;51.6;7.3;36.5;2
00/07/1954;12.32;100.7;33;67.7;50.35;33;0;67.7;0;16.5;2
00/09/1953;13.49;51.6;6.2;45.4;25.8;0;6.2;8.4;37;7.3;2
00/10/1950;16.6;98.9;20.7;78.2;49.45;3.4;17.3;78.2;0;10.35;2
00/01/1946;17.7;302.8;118.8;184;151.4;12.5;106.3;69.4;114.6;87.85;2
